pondday,temp,ph,do,chl,pc,amm,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDMI,NDWI,NDCI,NDTI,MNDWI,NDVI,mNDHI,cells_count,cells_prop,pond,day,dark_day
PRA1_1,29,8.36,3.3,358.49,11.2,0.19,295,347.84,520.76,301.64,639.88,563.28,584.32,495.56,398.4,748.56,291,217.28,0.301383520888724,0.0536560224104695,0.364086232369299,-0.272815947337236,0.340465332486353,0.221613656157498,-0.0766898538269069,25,1,PRA1,1,362.527132419342
PRA1_2,30,8.42,9.28,151.73,10.74,0.08,1844,1600.14285714286,1637.64285714286,1475.21428571429,1783.71428571429,1754.78571428571,1753.35714285714,1518.21428571429,1646.28571428571,2421.14285714286,1315.78571428571,1046.5,0.130584845553077,0.0532862663790799,0.0999063885260988,-0.0653359825630188,0.178652441974245,0.0120175772813535,-0.0548580226207222,14,0.56,PRA1,2,910.69109947644
PRA1_3,29.8,8.61,3.9,180.58,10.31,0.17,320.52,373.72,528.52,307.96,630.84,539.72,552.6,436.36,373.4,496.36,235.12,153.32,0.376103447607405,0.126616465321742,0.347943363997934,-0.269248046798379,0.46062206139315,0.145867147802997,-0.102425705443172,25,1,PRA1,3,410.59754601227
PRA1_4,29.6,8.23,4.39,171.74,8.65,0.23,1194.42857142857,926.142857142857,920.285714285714,737.142857142857,902.857142857143,804.571428571429,776.142857142857,667.428571428571,669.285714285714,1100.85714285714,443.571428571429,301.857142857143,0.209148915878683,0.163711216961703,0.103013426048958,-0.112864534418951,0.359271180197643,-0.0519960284700651,-0.116020519825021,7,0.28,PRA1,4,612.44705527941
PRA1_5,31.2,8.29,11.59,124.1,6.84,0.29,1069.875,1005.9375,1041.75,836.6875,1098.125,998.5625,1006.125,847.5,876.5,1375.6875,667.5625,550.6875,0.180106912341885,0.150129553379895,0.156024701592322,-0.134042766866351,0.314846624218522,-0.0175090407024572,-0.115383231730161,16,0.64,PRA1,5,643.150123631226
SBR1_1,28.9,7.96,3.99,255.62,11.06,0.14,440.56,472.76,593.36,401.92,717.8,604.84,608.64,524.56,441.12,853.2,398.56,300.24,0.181593979938928,0.101298583246203,0.288916157866611,-0.201713256826726,0.270013017260077,0.10082603409674,-0.0901978971075434,25,1,SBR1,1,362.527132419342
SBR1_2,29.7,8.22,7.55,132.7,12.73,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,SBR1,2,910.69109947644
SBR1_3,30.4,8.77,13.87,147.42,12.66,0.15,344.8,396.8,533.24,324.96,671.84,533.28,515.68,391.44,322.56,540.52,282.04,210.36,0.282085633657881,0.233442719735934,0.359579183411026,-0.258922201977246,0.451933640242123,0.0204713316545625,-0.117508474758444,25,1,SBR1,3,410.59754601227
SBR1_4,30.4,8.25,9.08,129.88,9.92,0.11,727.916666666667,649.125,774.5,545.875,859.25,752.791666666667,733.041666666667,616.916666666667,558.625,804.708333333333,404.625,276.416666666667,0.26342454210389,0.133125649594586,0.225437752303088,-0.177789355653073,0.373768976529915,0.0448102304884509,-0.0912336082195714,24,0.96,SBR1,4,612.44705527941
SBR1_5,30.9,8.26,10.1,113.92,10.37,0.2,636.041666666667,676.333333333333,781.5,546.416666666667,881.916666666667,768.583333333333,761.75,608.25,542.375,952.041666666667,396.125,300.958333333333,0.265977799982925,0.151051903646891,0.238754161021392,-0.183221008864489,0.390772211909367,0.0318185291864328,-0.11291565274173,24,0.96,SBR1,5,643.150123631226
SNR2_1,28.2,8.26,4.7,314.77,8.74,0.01,337.733333333333,429.666666666667,651.866666666667,444.466666666667,787.733333333333,758.466666666667,817.666666666667,757.733333333333,714.866666666667,947.4,689.666666666667,475,0.0950290086696666,0.0813067983110828,0.294736513891405,-0.220233282729892,0.160191945726511,0.133516677446998,-0.0147951021643835,15,1,SNR2,1,362.527132419342
SNR2_2,29,8.2,3.58,195.48,9.76,0.05,2143.66666666667,1762,1655,1274.22222222222,1514.33333333333,1428.44444444444,1352.33333333333,1167,1151.55555555556,2046.11111111111,524.555555555556,354.444444444444,0.380462337354498,0.173320905864509,0.0860360085999695,-0.129998421962913,0.519303279954601,-0.0443817581601032,-0.160667905010215,9,0.6,SNR2,2,910.69109947644
SNR2_3,28.5,8.63,3.73,214.55,9.75,0.07,404,485.8,695.533333333333,485.2,823.2,835.6,883.666666666667,775.2,745.533333333333,791.6,690.133333333333,481.466666666667,0.191314634965114,0.0806362295668745,0.273958357077978,-0.208989126478899,0.232154282417048,0.125266290804909,-0.0338888286417411,15,1,SNR2,3,410.59754601227
SNR2_4,28,8.38,3.82,199.88,8.94,0.07,731.8,698.8,922.4,678.066666666667,1032.2,1060.8,1103.66666666667,996.6,963.933333333333,1043.53333333333,798.133333333333,534.533333333333,0.209469604500009,0.0338253400007496,0.214093486643809,-0.168849383945818,0.219872555986263,0.134702111401702,-0.0321434655401684,15,1,SNR2,4,612.44705527941
SNR2_5,29.2,8.62,6.72,308.93,14.26,0.15,628.454545454545,703.727272727273,902.636363636364,627.909090909091,1005.63636363636,1035,1081.63636363636,905.090909090909,797.545454545455,810.181818181818,478.818181818182,350.363636363636,0.384822866816875,0.0182732490548894,0.237607031357977,-0.189362339776732,0.389012955488412,0.172549706373263,-0.067952354479539,11,0.733333333333333,SNR2,5,643.150123631226
