"pondday","day.x","pond.x","temp","ph","do","chl","pc","amm","B1","B2","B3","B4","B5","B6","B7","B8","B8A","B9","B11","B12","pond.y","day.y","pond","day"
"SRI1_2",2,"SRI1",29.5,8.27,6.4,85.36,6.82,0.66,2624,2364,2156.5,1671,1863,1513.5,1393,1244,1178,2178.5,637,460.5,"SRI1",2,"SRI1",2
"SRI1_3",3,"SRI1",29.2,8.23,4.2,177.07,8.4,0.54,357.615384615385,460.769230769231,648.269230769231,413.346153846154,794.192307692308,586.307692307692,597.115384615385,488.269230769231,453.769230769231,539.923076923077,282.730769230769,188.307692307692,"SRI1",3,"SRI1",3
"SRI1_4",4,"SRI1",29.7,8.17,4.2,101.82,6.74,0.14,726.115384615385,684.038461538462,838.884615384615,608.153846153846,960.038461538462,730,717.884615384615,619.346153846154,576.692307692308,732.846153846154,387.423076923077,250.461538461538,"SRI1",4,"SRI1",4
"SRI1_5",5,"SRI1",30.6,8.23,7.7,101.43,7.05,0.15,620.923076923077,704,848,617.384615384615,987.384615384615,784.576923076923,799.846153846154,675.730769230769,632.884615384615,902.884615384615,415.5,290.846153846154,"SRI1",5,"SRI1",5
"SRI2_1",1,"SRI2",28.5,8.14,3.1,118.74,4.97,0.08,302.454545454545,379.681818181818,535.545454545455,328.318181818182,584.909090909091,385.636363636364,391.863636363636,338.045454545455,278.954545454545,679.954545454545,268.090909090909,189.818181818182,"SRI2",1,"SRI2",1
"SRI2_2",2,"SRI2",28.6,8.19,0.8,170.45,8.01,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SRI2",2,"SRI2",2
"SRI2_3",3,"SRI2",29.7,8.19,7,95.73,6.84,0.15,369.272727272727,436.045454545455,576.409090909091,364.181818181818,718.727272727273,608.727272727273,622,487.545454545455,406.681818181818,591.272727272727,250.5,172.045454545455,"SRI2",3,"SRI2",3
"SRI2_4",4,"SRI2",29.4,8.27,6.3,155.79,6.97,0.13,723.521739130435,668.217391304348,807.304347826087,573.739130434783,898.826086956522,756.173913043478,752.782608695652,638.652173913043,592.695652173913,832.086956521739,388.173913043478,257.260869565217,"SRI2",4,"SRI2",4
"SRI2_5",5,"SRI2",29.8,8.2,2.2,170.53,8.28,0.24,599.818181818182,654.363636363636,773.590909090909,540,889.318181818182,782.045454545455,787.136363636364,634.909090909091,573.136363636364,975.772727272727,334.727272727273,235.045454545455,"SRI2",5,"SRI2",5
"SRK1_1",1,"SRK1",27.9,8.85,7.65,621.83,16.36,0.07,258.375,315.3125,623.0625,240.4375,602.5625,594.125,579.875,452.5,300.5625,650.9375,210.8125,166.375,"SRK1",1,"SRK1",1
